author,title,journal,volume,pages,year,doi,url
"Quach, Sara and Thaichon, Park and Martin, Kelly D. and Weaven, Scott
and Palmatier, Robert W.",Digital technologies: tensions in privacy and data,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,50.0,1299-1323,2022,10.1007/s11747-022-00845-y,
"Ciancarini, Paolo and Giancarlo, Raffaele and Grimaudo, Gennaro",Digital Transformation in the Public Administrations: A Guided Tour for Computer Scientists,IEEE Access,12.0,22841-22865,2024,10.1109/ACCESS.2024.3363075,
"Zhao, Rui and Atkinson, Malcolm and Papapanagiotou, Petros and Magnoni, Federica and Fleuriot, Jacques",Dr.Aid: Supporting Data-governance Rule Compliance for Decentralized Collaboration in an Automated Way,Proc. ACM Hum.-Comput. Interact.,5.0,,2021,10.1145/3479604,https://doi.org/10.1145/3479604
Tahir Abbas Syed and Haris Aslam and Zeeshan Ahmed Bhatti and Fahad Mehmood and Aseem Pahuja,Dynamic pricing for perishable goods: A data-driven digital transformation approach,International Journal of Production Economics,277.0,109405,2024,https://doi.org/10.1016/j.ijpe.2024.109405,https://www.sciencedirect.com/science/article/pii/S0925527324002627
Mohammad {Soltani Delgosha} and Nastaran Hajiheydari and Sayed Mahmood Fahimi,Elucidation of big data analytics in banking: a four-stage Delphi study,Journal of Enterprise Information Management,34.0,1577-1596,2020,https://doi.org/10.1108/JEIM-03-2019-0097,https://www.sciencedirect.com/science/article/pii/S1741039821000280
Yifei Zhao and Zhaohui Li and Siyi Lv,Enhancing AI System Privacy: An Automatic Tool for Achieving GDPR Compliance in NoSQL Databases,"Computers, Materials and Continua",80.0,217-234,2024,https://doi.org/10.32604/cmc.2024.052310,https://www.sciencedirect.com/science/article/pii/S1546221824004855
Christine Riou and Mohamed {El Azzouzi} and Anne Hespel and Emeric Guillou and Gouenou Coatrieux and Marc Cuggia,Ensuring General Data Protection Regulation Compliance and Security in a Clinical Data Warehouse From a University Hospital: Implementation Study,JMIR Medical Informatics,13.0,,2025,https://doi.org/10.2196/63754,https://www.sciencedirect.com/science/article/pii/S2291969425000730
"Werder, Karl and Ramesh, Balasubramaniam and Zhang, Rongen (Sophia)",Establishing Data Provenance for Responsible Artificial Intelligence Systems,ACM Trans. Manage. Inf. Syst.,13.0,,2022,10.1145/3503488,https://doi.org/10.1145/3503488
"Hommerson, Susan and Gallese, Chiara and Garel, Fanny and Aleksovska,
Angela and Bikas, Harry","Ethics, Data and Privacy Management for AI Solutions in Manufacturing at
SMEs (AIRISE)",,,279-286,2025,10.1007/978-3-031-86489-6\_29,
Kang-Cheng Chen and Chia-Mu Yu and Tooska Dargahi,Evaluating the Risk of Disclosure and Utility in a Synthetic Dataset,"Computers, Materials and Continua",68.0,761-787,2021,https://doi.org/10.32604/cmc.2021.014984,https://www.sciencedirect.com/science/article/pii/S1546221821009139
"Owens, Emer and Sheehan, Barry and Mullins, Martin and Cunneen, Martin
and Ressel, Juliane and Castignani, German",Explainable Artificial Intelligence (XAI) in Insurance,RISKS,10.0,,2022,10.3390/risks10120230,
Alejandro {Barredo Arrieta} and Natalia Díaz-Rodríguez and Javier {Del Ser} and Adrien Bennetot and Siham Tabik and Alberto Barbado and Salvador Garcia and Sergio Gil-Lopez and Daniel Molina and Richard Benjamins and Raja Chatila and Francisco Herrera,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",Information Fusion,58.0,82-115,2020,https://doi.org/10.1016/j.inffus.2019.12.012,https://www.sciencedirect.com/science/article/pii/S1566253519308103
Amirsajjad Taleban and Rodney Sparapani and Patrick Noffke and Sharone Zlochiver and Qiang Lu and Michael E. Widlansky and Jake Luo,Explainable artificial intelligence in electrocardiography: A systematic review,Biomedical Signal Processing and Control,114.0,109325,2026,https://doi.org/10.1016/j.bspc.2025.109325,https://www.sciencedirect.com/science/article/pii/S1746809425018361
"Vouros, George A.",Explainable Deep Reinforcement Learning: State of the Art and Challenges,ACM Comput. Surv.,55.0,,2022,10.1145/3527448,https://doi.org/10.1145/3527448
"Zhang, Peiyun and Ding, Song and Zhao, Qinglin",Exploiting Blockchain to Make AI Trustworthy: A Software Development Lifecycle View,ACM Comput. Surv.,56.0,,2024,10.1145/3614424,https://doi.org/10.1145/3614424
"Gorski, Lukasz and Kuzniacki, Blazej and Almada, Marco and Tylinski,
Kamil and Calvo, Madalena and Asnaghi, Pablo Matias and Almada, Luciano
and Iniguez, Hilario and Rubianes, Fernando and Pera, Octavio and
Nigrelli, Juan Ignacio",Exploring explainable AI in the tax domain,ARTIFICIAL INTELLIGENCE AND LAW,33.0,551-579,2025,10.1007/s10506-024-09395-w,
"Borg, Markus and Bronson, Joshua and Christensson, Linus and Olsson, Fredrik and Lennartsson, Olof and Sonnsjö, Elias and Ebabi, Hamid and Karsberg, Martin",Exploring the Assessment List for Trustworthy AI in the Context of Advanced Driver-Assistance Systems,,,5-12,2021,10.1109/SEthics52569.2021.00009,
Nastaran Hajiheydari and Mohammad Soltani Delgosha and Yichuan Wang and Hossein Olya,Exploring the paths to big data analytics implementation success in banking and financial service: an integrated approach,Industrial Management & Data Systems,121.0,2498-2529,2021,https://doi.org/10.1108/IMDS-04-2021-0209,https://www.sciencedirect.com/science/article/pii/S0263557721000233
Ons Aouedi and Kandaraj Piamrat,F-BIDS: Federated-Blending based Intrusion Detection System,Pervasive and Mobile Computing,89.0,101750,2023,https://doi.org/10.1016/j.pmcj.2023.101750,https://www.sciencedirect.com/science/article/pii/S1574119223000081
Mao Yuxin and Wang Honglin,Federated Learning Based on Data Divergence and Differential Privacy in Financial Risk Control Research,"Computers, Materials and Continua",75.0,863-878,2023,https://doi.org/10.32604/cmc.2023.034879,https://www.sciencedirect.com/science/article/pii/S1546221823004186
"Vieira-Vieira, Carlos Henrique and Kulkarni, Sarang Sanjay and Zalewski,
Adam and Loffler, Jobst and Munch, Jonas and Kreuchwig, Annika","From data silos to insights: the PRINCE multi-agent knowledge engine for
preclinical drug development",FRONTIERS IN ARTIFICIAL INTELLIGENCE,8.0,,2025,10.3389/frai.2025.1636809,
"Heudel, Pierre and Crochet, Hugo and Durand, Thierry and Zrounba,
Philippe and Blay, Yves","From data strategy to implementation to advance cancer research and
cancer care: A French comprehensive cancer center experience",PLOS DIGITAL HEALTH,2.0,,2023,10.1371/journal.pdig.0000415,
"Sendros, Andreas and Kostamis, Periklis and Zikos, Ioannis and Manos,
Anastasios and Filippidou, Despina Elisabeth and Drosatos, George and
Efraimidis, Pavlos","From Fragmented Systems to Transparent Governance: Blockchain-Enabled
Water Management with IoT Integration",WATER RESOURCES MANAGEMENT,40.0,,2026,10.1007/s11269-025-04458-2,
Antonella Carbonaro and Luca Giorgetti and Lorenzo Ridolfi and Roberto Pasolini and Andrea Pagliarani and Martina Cavallucci and Alice Andalò and Livia Del Gaudio and Paolo {De Angelis} and Roberto Vespignani and Nicola Gentili,From raw data to research-ready: A FHIR-based transformation pipeline in a real-world oncology setting,Computers in Biology and Medicine,197.0,111051,2025,https://doi.org/10.1016/j.compbiomed.2025.111051,https://www.sciencedirect.com/science/article/pii/S0010482525014039
Parimala Boobalan and Swarna Priya Ramu and Quoc-Viet Pham and Kapal Dev and Sharnil Pandya and Praveen Kumar Reddy Maddikunta and Thippa Reddy Gadekallu and Thien Huynh-The,Fusion of Federated Learning and Industrial Internet of Things: A survey,Computer Networks,212.0,109048,2022,https://doi.org/10.1016/j.comnet.2022.109048,https://www.sciencedirect.com/science/article/pii/S1389128622001955
