author,title,journal,volume,pages,year,doi,url
Muhammad Firdaus and Harashta Tatimma Larasati and Kyung-Hyune Rhee,A Blockchain-Assisted Distributed Edge Intelligence for Privacy-Preserving Vehicular Networks,"Computers, Materials and Continua",76.0,2959-2978,2023,https://doi.org/10.32604/cmc.2023.039487,https://www.sciencedirect.com/science/article/pii/S1546221823000048
Syed Iftikhar Hussain Shah and Vassilios Peristeras and Ioannis Magnisalis,A conceptual framework for the government big data ecosystem (‘datagov.eco’),Data & Knowledge Engineering,154.0,102348,2024,https://doi.org/10.1016/j.datak.2024.102348,https://www.sciencedirect.com/science/article/pii/S0169023X24000727
Pedro A. Moreno-Sánchez and Javier {Del Ser} and Mark {van Gils} and Jussi Hernesniemi,"A design framework for operationalizing trustworthy artificial intelligence in healthcare: Requirements, tradeoffs and challenges for its clinical adoption",Information Fusion,127.0,103812,2026,https://doi.org/10.1016/j.inffus.2025.103812,https://www.sciencedirect.com/science/article/pii/S1566253525008747
"Yuksel Elgin, Cansu and Elgin, Ceyhun","A multi-level futures analysis of European teleophthalmology through
2040: development and application of a conceptual framework for
healthcare transformation",EUROPEAN JOURNAL OF FUTURES RESEARCH,13.0,,2025,10.1186/s40309-025-00257-5,
Luis Marco-Ruiz and Miguel Ángel Tejedor Hernández and Phuong Dinh Ngo and Alexandra Makhlysheva and Therese Olsen Svenning and Kari Dyb and Taridzo Chomutare and Carlos Fernández Llatas and Jorge Muñoz-Gama and Maryam Tayefi,A multinational study on artificial intelligence adoption: Clinical implementers' perspectives,International Journal of Medical Informatics,184.0,105377,2024,https://doi.org/10.1016/j.ijmedinf.2024.105377,https://www.sciencedirect.com/science/article/pii/S1386505624000406
"Klaine, Paulo Valente and Xu, Hao and Zhang, Lei and Imran, Muhammad and Zhu, Ziming",A Privacy-Preserving Blockchain Platform for a Data Marketplace,Distrib. Ledger Technol.,2.0,,2023,10.1145/3573894,https://doi.org/10.1145/3573894
Huu-Tuong Ho and Luong Vuong Nguyen and Minh-Tien Pham and Quang-Huy Pham and Quang-Duong Tran and Duong Nguyen Minh Huy and Tri-Hai Nguyen,A Review on Vision-Language-Based Approaches: Challenges and Applications,"Computers, Materials and Continua",82.0,1733-1756,2025,https://doi.org/10.32604/cmc.2025.060363,https://www.sciencedirect.com/science/article/pii/S1546221825001420
"Welten, Sascha and Herr, Marius de Arruda Botelho and Hempel, Lars and
Hieber, David and Placzek, Peter and Graf, Michael and Weber, Sven and
Neumann, Laurenz and Jugl, Maximilian and Tirpitz, Liam and Kindermann,
Karl and Geisler, Sandra and Santos, Luiz Olavo Bonino da Silva and
Decker, Stefan and Pfeifer, Nico and Kohlbacher, Oliver and Kirsten,
Toralf","A study on interoperability between two Personal Health Train
infrastructures in leukodystrophy data analysis",SCIENTIFIC DATA,11.0,,2024,10.1038/s41597-024-03450-6,
Nilantha Prasad and Abebe Diro and Matthew Warren and Mahesh Fernando,"A survey of cyber threat attribution: Challenges, techniques, and future directions",Computers & Security,157.0,104606,2025,https://doi.org/10.1016/j.cose.2025.104606,https://www.sciencedirect.com/science/article/pii/S0167404825002950
Chamara Sandeepa and Bartlomiej Siniarski and Nicolas Kourtellis and Shen Wang and Madhusanka Liyanage,"A survey on privacy for B5G/6G: New privacy challenges, and research directions",Journal of Industrial Information Integration,30.0,100405,2022,https://doi.org/10.1016/j.jii.2022.100405,https://www.sciencedirect.com/science/article/pii/S2452414X22000723
A.S. Albahri and Ali M. Duhaim and Mohammed A. Fadhel and Alhamzah Alnoor and Noor S. Baqer and Laith Alzubaidi and O.S. Albahri and A.H. Alamoodi and Jinshuai Bai and Asma Salhi and Jose Santamaría and Chun Ouyang and Ashish Gupta and Yuantong Gu and Muhammet Deveci,"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion",Information Fusion,96.0,156-191,2023,https://doi.org/10.1016/j.inffus.2023.03.008,https://www.sciencedirect.com/science/article/pii/S1566253523000891
"Tsakalakis, Niko and Stalla-Bourdillon, Sophie and Huynh, Dong and Moreau, Luc",A typology of explanations to support Explainability-by-Design,ACM J. Responsib. Comput.,2.0,,2025,10.1145/3708504,https://doi.org/10.1145/3708504
"Buleje, Italo and Siu, Vince S. and Hsieh, Kuan Yu and Hinds, Nigel and Dang, Bing and Bilal, Erhan and Nguyen, Thanhnha and Lee, Ellen E. and Depp, Colin A. and Rogers, Jeffrey L.",A Versatile Data Fabric for Advanced IoT-Based Remote Health Monitoring,,,88-90,2023,10.1109/ICDH60066.2023.00021,
Navitha Singh Sewpersadh,Adaptive structural audit processes as shaped by emerging technologies,International Journal of Accounting Information Systems,56.0,100735,2025,https://doi.org/10.1016/j.accinf.2025.100735,https://www.sciencedirect.com/science/article/pii/S1467089525000119
Qinghua Lu and Dehai Zhao and Yue Liu and Hao Zhang and Liming Zhu and Xiwei Xu and Angela Shi and Tristan Tan and Rick Kazman,AgentArcEval: An architecture evaluation method for foundation model based agents,Journal of Systems and Software,232.0,112656,2026,https://doi.org/10.1016/j.jss.2025.112656,https://www.sciencedirect.com/science/article/pii/S0164121225003255
Maciej Kuziemski and Gianluca Misuraca,AI governance in the public sector: Three tales from the frontiers of automated decision-making in democratic settings,Telecommunications Policy,44.0,101976,2020,https://doi.org/10.1016/j.telpol.2020.101976,https://www.sciencedirect.com/science/article/pii/S0308596120300689
Seungkyu Park and Joong yoon Lee and Jooyeoun Lee,AI system architecture design methodology based on IMO (Input-AI Model-Output) structure for successful AI adoption in organizations,Data & Knowledge Engineering,150.0,102264,2024,https://doi.org/10.1016/j.datak.2023.102264,https://www.sciencedirect.com/science/article/pii/S0169023X23001246
Hamed Taherdoost and Alireza Ghofrani,AI's role in revolutionizing personalized medicine by reshaping pharmacogenomics and drug therapy,Intelligent Pharmacy,2.0,643-650,2024,https://doi.org/10.1016/j.ipha.2024.08.005,https://www.sciencedirect.com/science/article/pii/S2949866X2400087X
Alberto S. Ortega-Calvo and Roberto Morcillo-Jimenez and Carlos Fernandez-Basso and Karel Gutiérrez-Batista and Maria-Amparo Vila and Maria J. Martin-Bautista,AIMDP: An Artificial Intelligence Modern Data Platform. Use case for Spanish national health service data silo,Future Generation Computer Systems,143.0,248-264,2023,https://doi.org/10.1016/j.future.2023.02.002,https://www.sciencedirect.com/science/article/pii/S0167739X23000432
Pyry Kotilainen and Niko Mäkitalo and Kari Systä and Ali Mehraj and Muhammad Waseem and Tommi Mikkonen and Juan Manuel Murillo,"Allocating distributed AI/ML applications to cloud–edge continuum based on privacy, regulatory, and ethical constraints",Journal of Systems and Software,222.0,112333,2025,https://doi.org/10.1016/j.jss.2025.112333,https://www.sciencedirect.com/science/article/pii/S0164121225000019
Sakib Anwar Rieyan and Md. Raisul Kabir News and A.B.M. Muntasir Rahman and Sadia Afrin Khan and Sultan Tasneem Jawad Zaarif and Md. Golam Rabiul Alam and Mohammad Mehedi Hassan and Michele Ianni and Giancarlo Fortino,An advanced data fabric architecture leveraging homomorphic encryption and federated learning,Information Fusion,102.0,102004,2024,https://doi.org/10.1016/j.inffus.2023.102004,https://www.sciencedirect.com/science/article/pii/S1566253523003202
"Zhao, Rui","An Automated Framework for Supporting Data-Governance Rule Compliance in
Decentralized MIMO Contexts",,,4929-4930,2021,,
"Findlay, Mark and Seah, Josephine",An Ecosystem Approach to Ethical AI and Data Use: Experimental Reflections,,,192-197,2020,10.1109/AI4G50087.2020.9311069,
"Wang, Zihuan","Artificial intelligence in Chinese healthcare: a review of applications
and future prospects",BIOMEDICAL ENGINEERING LETTERS,15.0,1065-1072,2025,10.1007/s13534-025-00515-2,
David B. Olawade and Charity A. Aienobe-Asekharen,"Artificial intelligence in tobacco control: A systematic scoping review of applications, challenges, and ethical implications",International Journal of Medical Informatics,202.0,105987,2025,https://doi.org/10.1016/j.ijmedinf.2025.105987,https://www.sciencedirect.com/science/article/pii/S1386505625002047
