author,title,journal,volume,pages,year,doi,url
Sameera K.M. and Serena Nicolazzo and Marco Arazzi and Antonino Nocera and Rafidha Rehiman K.A. and Vinod P. and Mauro Conti,Privacy-preserving in Blockchain-based Federated Learning systems,Computer Communications,222.0,38-67,2024,https://doi.org/10.1016/j.comcom.2024.04.024,https://www.sciencedirect.com/science/article/pii/S0140366424001464
"Fritchman, Kyle and Saminathan, Keerthanaa and Dowsley, Rafael and
Hughes, Tyler and De Cock, Martine and Nascimento, Anderson and
Teredesai, Ankur","Privacy-Preserving Scoring of Tree Ensembles: A Novel Framework for AI
in Healthcare",,,2413-2422,2018,,
"Howison, Mark and Angell, Mintaka and Hastings, Justine S.",Protecting Sensitive Data with Secure Data Enclaves,Digit. Gov.: Res. Pract.,5.0,,2024,10.1145/3643686,https://doi.org/10.1145/3643686
"Aryfiyanto, Hary and Alamsyah, Andry",Public Service with Generative AI: Exploring Features and Applications,,,1-7,2024,10.1109/IC2IE63342.2024.10747963,
Farhaan Vahidy and Stephen L Jones and Mauricio E Tano and Juan Carlos Nicolas and Osman A Khan and Jennifer R Meeks and Alan P Pan and Terri Menser and Farzan Sasangohar and George Naufal and Dirk Sostman and Khurram Nasir and Bita A Kash,Rapid Response to Drive COVID-19 Research in a Learning Health Care System: Rationale and Design of the Houston Methodist COVID-19 Surveillance and Outcomes Registry (CURATOR),JMIR Medical Informatics,9.0,,2021,https://doi.org/10.2196/26773,https://www.sciencedirect.com/science/article/pii/S2291969421001009
"Peukert, Christian and Bechtold, Stefan and Batikas, Michail and
Kretschmer, Tobias",Regulatory Spillovers and Data Governance: Evidence from the GDPR,MARKETING SCIENCE,41.0,318-340,2022,10.1287/mksc.2021.1339,
"Fothergill, B. Tyr and Knight, William and Stahl, Bernd Carsten and
Ulnicane, Inge",Responsible Data Governance of Neuroscience Big Data,FRONTIERS IN NEUROINFORMATICS,13.0,,2019,10.3389/fninf.2019.00028,
Alex Serban and Koen {van der Blom} and Holger Hoos and Joost Visser,"Software engineering practices for machine learning — Adoption, effects, and team assessment",Journal of Systems and Software,209.0,111907,2024,https://doi.org/10.1016/j.jss.2023.111907,https://www.sciencedirect.com/science/article/pii/S0164121223003023
"Scantamburlo, Teresa and Falcarin, Paolo and Veneri, Alberto and Fabris, Alessandro and Gallese, Chiara and Billa, Valentina and Rotolo, Francesca and Marcuzzi, Federico",Software Systems Compliance with the AI Act : Lessons Learned from an International Challenge,,,44-51,2024,,
"Matias, J. Nathan and Hounsel, Austin and Feamster, Nick",Software-Supported Audits of Decision-Making Systems: Testing Google and Facebook's Political Advertising Policies,Proc. ACM Hum.-Comput. Interact.,6.0,,2022,10.1145/3512965,https://doi.org/10.1145/3512965
Lena Maier-Hein and Matthias Eisenmann and Duygu Sarikaya and Keno März and Toby Collins and Anand Malpani and Johannes Fallert and Hubertus Feussner and Stamatia Giannarou and Pietro Mascagni and Hirenkumar Nakawala and Adrian Park and Carla Pugh and Danail Stoyanov and Swaroop S. Vedula and Kevin Cleary and Gabor Fichtinger and Germain Forestier and Bernard Gibaud and Teodor Grantcharov and Makoto Hashizume and Doreen Heckmann-Nötzel and Hannes G. Kenngott and Ron Kikinis and Lars Mündermann and Nassir Navab and Sinan Onogur and Tobias Roß and Raphael Sznitman and Russell H. Taylor and Minu D. Tizabi and Martin Wagner and Gregory D. Hager and Thomas Neumuth and Nicolas Padoy and Justin Collins and Ines Gockel and Jan Goedeke and Daniel A. Hashimoto and Luc Joyeux and Kyle Lam and Daniel R. Leff and Amin Madani and Hani J. Marcus and Ozanan Meireles and Alexander Seitel and Dogu Teber and Frank Ückert and Beat P. Müller-Stich and Pierre Jannin and Stefanie Speidel,Surgical data science – from concepts toward clinical translation,Medical Image Analysis,76.0,102306,2022,https://doi.org/10.1016/j.media.2021.102306,https://www.sciencedirect.com/science/article/pii/S1361841521003510
"Jiang, Junying and Domingues, Lucia and Mendes, Jorge M.","Synthetic data in medical imaging within the EHDS: a path forward for
ethics, regulation, and standards",FRONTIERS IN DIGITAL HEALTH,7.0,,2025,10.3389/fdgth.2025.1620270,
"Pandit, Harshvardhan J. and O'Sullivan, Declan and Lewis, Dave",Test-Driven Approach Towards GDPR Compliance,,11702.0,19-33,2019,10.1007/978-3-030-33220-4\_2,
Alina Haines-Delmont and Gurdit Chahal and Ashley Jane Bruen and Abbie Wall and Christina Tara Khan and Ramesh Sadashiv and David Fearnley,Testing Suicide Risk Prediction Algorithms Using Phone Measurements With Patients in Acute Mental Health Settings: Feasibility Study,JMIR mHealth and uHealth,8.0,,2020,https://doi.org/10.2196/15901,https://www.sciencedirect.com/science/article/pii/S2291522220003964
Andrea Fedele and Clara Punzi and Stefano Tramacere,The ALTAI checklist as a tool to assess ethical and legal implications for a trustworthy AI development in education,Computer Law & Security Review,53.0,105986,2024,https://doi.org/10.1016/j.clsr.2024.105986,https://www.sciencedirect.com/science/article/pii/S0267364924000530
Ashkan Pirmani and Edward {De Brouwer} and Lotte Geys and Tina Parciak and Yves Moreau and Liesbet M Peeters,The Journey of Data Within a Global Data Sharing Initiative: A Federated 3-Layer Data Analysis Pipeline to Scale Up Multiple Sclerosis Research,JMIR Medical Informatics,11.0,,2023,https://doi.org/10.2196/48030,https://www.sciencedirect.com/science/article/pii/S2291969423000522
"Suver, Christine and Harper, Jeremy and Loomba, Johanna and Saltz, Mary
and Solway, Julian and Anzalone, Alfred Jerrod and Walters, Kellie and
Pfaff, Emily and Walden, Anita and McMurry, Julie and Chute, Christopher
G. and Haendel, Melissa and N3C Consortium","The N3C governance ecosystem: A model socio-technical partnership for
the future of collaborative analytics at scale",JOURNAL OF CLINICAL AND TRANSLATIONAL SCIENCE,7.0,,2023,10.1017/cts.2023.681,
"Rolan, Gregory and Lewis, Antonina","The perpetual twilight of records: consentful recordkeeping as moral
defence",ARCHIVAL SCIENCE,24.0,257-287,2024,10.1007/s10502-024-09438-w,
Monika Steidl and Michael Felderer and Rudolf Ramler,The pipeline for the continuous development of artificial intelligence models—Current state of research and practice,Journal of Systems and Software,199.0,111615,2023,https://doi.org/10.1016/j.jss.2023.111615,https://www.sciencedirect.com/science/article/pii/S0164121223000109
"Chen, Hanfang and Wei, Niankun and Wang, Leyao and Fawzy Mohamed Mobarak, Wael and Ali Albahar, Marwan and Shaikh, Zaffar Ahmed","The Role of Blockchain in Finance Beyond Cryptocurrency: Trust, Data Management, and Automation",IEEE Access,12.0,64861-64885,2024,10.1109/ACCESS.2024.3395918,
Elham Shammar and Xiaohui Cui and Ammar Zahary and Saeed Hamood Alsamhi and Mohammed A.A. Al-qaness,Threat to trust: A systematic review on Internet of medical things security,Journal of Parallel and Distributed Computing,206.0,105172,2025,https://doi.org/10.1016/j.jpdc.2025.105172,https://www.sciencedirect.com/science/article/pii/S074373152500139X
Alexander Schink and Tobias Gutmann and Sebastian Brenk,Transforming B2B platforms through interconnected digital twins: Enhancing situation awareness for decision-making,Technovation,149.0,103368,2026,https://doi.org/10.1016/j.technovation.2025.103368,https://www.sciencedirect.com/science/article/pii/S0166497225002007
"Stettinger, Georg and Weissensteiner, Patrick and Khastgir, Siddartha",Trustworthiness Assurance Assessment for High-Risk AI-Based Systems,IEEE Access,12.0,22718-22745,2024,10.1109/ACCESS.2024.3364387,
"Pelekis, Sotiris and Karakolis, Evangelos and Lampropoulos, George and Mouzakitis, Spiros and Markaki, Ourania and Ntanos, Christos and Askounis, Dimitris",Trustworthy Artificial Intelligence in the Energy Sector: Landscape Analysis and Evaluation Framework,,,1-10,2024,10.1109/ICE/ITMC61926.2024.10794222,
"Van Scharen, Audrey and Cruyt, Karen and Colon, Jeroen and De Sutter,
Selene and Duerinck, Johnny and Forsyth, Ramses and Olsen, Catharina and
Quinn, Paul and Tzavella, Konstantina and Van Dooren, Sonia and Waelput,
Wim and Witdouck, Arne and Cornu, Pieter and Vandemeulebroucke, Jef and
Vranken, Wim","Unlocking Health Data for Research: Legal, Technical, and Organisational
Lessons from a Belgian Interdisciplinary Case Study",JOURNAL OF HEALTHCARE INFORMATICS RESEARCH,,,2025,10.1007/s41666-025-00220-w,
