author,title,journal,volume,pages,year,doi,url
"Le, Cong Tran Quoc and Tran, Viet Dung and Nguyen, Dao Phuong Thuy","Global norms and regional innovation: GDPR, evolution of data
protection in ASEAN and the legal trajectory of AI in Vietnam",TALTECH JOURNAL OF EUROPEAN STUDIES,15.0,250-290,2025,10.2478/bjes-2025-0039,
"Francu, Cristian Constantin and Sava, Stefan","Global Perspectives on Digital and AI Legislation: A Comparative Study
of Data Protection, AI Governance, and Healthcare Innovations with a
Focus on Romania",PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON BUSINESS EXCELLENCE,19.0,2469-2481,2025,10.2478/picbe-2025-0191,
Martin Lnenicka and Nina Rizun and Charalampos Alexopoulos and Marijn Janssen,Government in the metaverse: Requirements and suitability for providing digital public services,Technological Forecasting and Social Change,203.0,123346,2024,https://doi.org/10.1016/j.techfore.2024.123346,https://www.sciencedirect.com/science/article/pii/S0040162524001422
"Elvas, Luis B. and Ferreira, Joao C. and Dias, Miguel Sales and Rosario,
Luis Bras",Health Data Sharing towards Knowledge Creation,SYSTEMS,11.0,,2023,10.3390/systems11080435,
"Ekambaranathan, Anirudh and Zhao, Jun and Van Kleek, Max",How Can We Design Privacy-Friendly Apps for Children? Using a Research through Design Process to Understand Developers' Needs and Challenges,Proc. ACM Hum.-Comput. Interact.,7.0,,2023,10.1145/3610066,https://doi.org/10.1145/3610066
"Korzniakov, Oleksii and Kravchuk, Olha and Mykhailov, Mykhailo","HUMAN CAPITAL DEVELOPMENT IN THE TRANSITION FROM INDUSTRY 4.0 TO
INDUSTRY 5.0: ETHICAL, EDUCATIONAL, REGULATORY PERSPECTIVES",BALTIC JOURNAL OF ECONOMIC STUDIES,11.0,261-267,2025,10.30525/2256-0742/2025-11-5-261-267,
Charity S. Odeyemi and Olatayo M. Olaniyan and Bolaji A. Omodunbi and Ibitoye B. Samuel and Afeez A. Soladoye and David B. Olawade,Hybridized artificial intelligence system for reducing neonatal mortality in Nigeria,International Journal of Medical Informatics,206.0,106162,2026,https://doi.org/10.1016/j.ijmedinf.2025.106162,https://www.sciencedirect.com/science/article/pii/S138650562500379X
Luiz Guilherme Martins Siqueira and Rodrigo Furlan {de Assis} and Julio César Montecinos and William de Paula Ferreira,Implementation of a Business Intelligence System in the Brazilian Nuclear Industry: An Action Research,Procedia Computer Science,232.0,956-965,2024,https://doi.org/10.1016/j.procs.2024.01.095,https://www.sciencedirect.com/science/article/pii/S1877050924000954
Matilde Karakachoff and Thomas Goronflot and Sandrine Coudol and Delphine Toublant and Adrien Bazoge and Pacôme {Constant Dit Beaufils} and Emilie Varey and Christophe Leux and Nicolas Mauduit and Matthieu Wargny and Pierre-Antoine Gourraud,"Implementing a Biomedical Data Warehouse From Blueprint to Bedside in a Regional French University Hospital Setting: Unveiling Processes, Overcoming Challenges, and Extracting Clinical Insight",JMIR Medical Informatics,12.0,,2024,https://doi.org/10.2196/50194,https://www.sciencedirect.com/science/article/pii/S229196942400070X
"Pandit, Harshvardhan J. and Lindquist, Jan and Krog, Georg P.","Implementing ISO/IEC TS 27560:2023 Consent Records and Receipts for GDPR
and DGA",,14831.0,228-251,2024,10.1007/978-3-031-68024-3\_12,
Dongchul Cha and MinDong Sung and Yu-Rang Park,"Implementing Vertical Federated Learning Using Autoencoders: Practical Application, Generalizability, and Utility Study",JMIR Medical Informatics,9.0,,2021,https://doi.org/10.2196/26598,https://www.sciencedirect.com/science/article/pii/S2291969421002155
Wasim Ahmad and Sunawar Khan and Tehseen Mazhar and Tariq Shahzad and Weiwei Jiang and Habib Hamam,Industry 4.0 for smart transport systems: Foundations and applications,Telematics and Informatics Reports,20.0,100255,2025,https://doi.org/10.1016/j.teler.2025.100255,https://www.sciencedirect.com/science/article/pii/S2772503025000696
"Sadiq, Shazia and Aryani, Amir and Demartini, Gianluca and Hua, Wen and Indulska, Marta and Burton-Jones, Andrew and Khosravi, Hassan and Benavides-Prado, Diana and Sellis, Timos and Someh, Ida and Vaithianathan, Rhema and Wang, Sen and Zhou, Xiaofang",Information Resilience: the nexus of responsible and agile approaches to information use,The VLDB Journal,31.0,1059–1084,2022,10.1007/s00778-021-00720-2,https://doi.org/10.1007/s00778-021-00720-2
"Haneef, Romana and Delnord, Marie and Vernay, Michel and Bauchet,
Emmanuelle and Gaidelyte, Rita and Van Oyen, Herman and Or, Zeynep and
Perez-Gomez, Beatriz and Palmieri, Luigi and Achterberg, Peter and
Tijhuis, Mariken and Zaletel, Metka and Mathis-Edenhofer, Stefan and
Majek, Ondrej and Haaheim, Hakon and Tolonen, Hanna and Gallay, Anne","Innovative use of data sources: a cross-sectional study of data linkage
and artificial intelligence practices across European countries",ARCHIVES OF PUBLIC HEALTH,78.0,,2020,10.1186/s13690-020-00436-9,
"Atf, Zahra and Lewis, Peter R.",Is Trust Correlated With Explainability in AI? A Meta-Analysis,IEEE Transactions on Technology and Society,,1-8,2025,10.1109/TTS.2025.3558448,
"Geisler, Sandra and Vidal, Maria-Esther and Cappiello, Cinzia and L\'{o}scio, Bernadette Farias and Gal, Avigdor and Jarke, Matthias and Lenzerini, Maurizio and Missier, Paolo and Otto, Boris and Paja, Elda and Pernici, Barbara and Rehof, Jakob",Knowledge-Driven Data Ecosystems Toward Data Transparency,J. Data and Information Quality,14.0,,2021,10.1145/3467022,https://doi.org/10.1145/3467022
Yassine Habchi and Hamza Kheddar and Yassine Himeur and Mohamed Chahine Ghanem,Machine learning and transformers for thyroid carcinoma diagnosis,Journal of Visual Communication and Image Representation,115.0,104668,2026,https://doi.org/10.1016/j.jvcir.2025.104668,https://www.sciencedirect.com/science/article/pii/S1047320325002822
"Parikh, Nishant Ashokkumar","Managing AI-First Products: Roles, Skills, Challenges, and Strategies of AI Product Managers",IEEE Engineering Management Review,53.0,232-244,2025,10.1109/EMR.2025.3530942,
Feras M. Awaysheh and Mamoun Alazab and Maanak Gupta and Tomás F. Pena and José C. Cabaleiro,Next-generation big data federation access control: A reference model,Future Generation Computer Systems,108.0,726-741,2020,https://doi.org/10.1016/j.future.2020.02.052,https://www.sciencedirect.com/science/article/pii/S0167739X19315948
Per Runeson and Thomas Olsson and Johan Linåker,Open Data Ecosystems — An empirical investigation into an emerging industry collaboration concept,Journal of Systems and Software,182.0,111088,2021,https://doi.org/10.1016/j.jss.2021.111088,https://www.sciencedirect.com/science/article/pii/S0164121221001850
"Li, Qin and Pi, Bin and Feng, Minyu and Kurths, Jürgen",Open Data in the Digital Economy: An Evolutionary Game Theory Perspective,IEEE Transactions on Computational Social Systems,11.0,3780-3791,2024,10.1109/TCSS.2023.3324087,
"Li, Tracey and Wandella, Abbas and Gomer, Richard and Al-Mafazy, Mohamed
Habib","Operationalizing health data governance for AI innovation in
low-resource government health systems: a practical implementation
perspective from Zanzibar",DATA \& POLICY,6.0,,2024,10.1017/dap.2024.65,
Aldren Gonzales and Scott R Smith and Prashila Dullabh and Lauren Hovey and Krysta Heaney-Huls and Meagan Robichaud and Roger Boodoo,Potential Uses of Blockchain Technology for Outcomes Research on Opioids,JMIR Medical Informatics,9.0,,2021,https://doi.org/10.2196/16293,https://www.sciencedirect.com/science/article/pii/S2291969421002684
Soumia Zohra {El Mestari} and Gabriele Lenzini and Huseyin Demirci,Preserving data privacy in machine learning systems,Computers & Security,137.0,103605,2024,https://doi.org/10.1016/j.cose.2023.103605,https://www.sciencedirect.com/science/article/pii/S0167404823005151
Oleksandr Kosenkov and Ehsan Zabardast and Davide Fucci and Daniel Mendez and Michael Unterkalmsteiner,Privacy by design: Aligning GDPR and software engineering specifications with a requirements engineering approach,Information and Software Technology,190.0,107946,2026,https://doi.org/10.1016/j.infsof.2025.107946,https://www.sciencedirect.com/science/article/pii/S095058492500285X
